name,team,position,sport
Yoendrys Gomez,TB,SP,MLB
Griff McGarry,WSH,SP,MLB
Justin Bruihl,STL,RP,MLB
Matt Gage,SF,RP,MLB
Kyle Karros,COL,3B,MLB
Amed Rosario,NYY,2B,MLB
Casey Schmitt,SF,1B,MLB
Robert Hassell III,WSH,OF,MLB
Jaden Hill,COL,RP,MLB
Sam Haggerty,TEX,OF,MLB
Masataka Yoshida,BOS,OF,MLB
David Fry,CLE,DH,MLB
Nate Pearson,HOU,RP,MLB
Hunter Feduccia,TB,C,MLB
Jordan Montgomery,TEX,SP,MLB
Matt Pushard,STL,RP,MLB
Steven Wilson,TB,RP,MLB
Blake Perkins,MIL,OF,MLB
Brent Headrick,NYY,RP,MLB
Chase Silseth,LAA,RP,MLB
Alex Lange,KC,RP,MLB
Connor Brogdon,CLE,RP,MLB
Brusdar Graterol,LAD,RP,MLB
Will Klein,LAD,RP,MLB
Joey Wentz,ATL,SP,MLB
Ryan Gusto,MIA,SP,MLB
Sam Hentges,SF,RP,MLB
Josh White,MIA,RP,MLB
Joe Mack,MIA,C,MLB
Daniel Schneemann,CLE,2B,MLB
James Outman,MIN,OF,MLB
Ryan Watson,BOS,SP,MLB
Evan Sisk,PIT,RP,MLB
Ryan Ritter,COL,2B,MLB
Rob Zastryzny,MIL,RP,MLB
Tanner Gordon,COL,SP,MLB
Connor Wong,BOS,C,MLB
Brandyn Garcia,ARI,RP,MLB
Braxton Fulford,COL,C,MLB
Brady Basso,ATH,RP,MLB
Ryan Mountcastle,BAL,1B,MLB
Ryan Fernandez,STL,RP,MLB
Luis Torrens,NYM,C,MLB
Roddery Munoz,HOU,RP,MLB
Jason Alexander,HOU,SP,MLB
Dalton Rushing,LAD,C,MLB
Kevin Kelly,TB,RP,MLB
Eduarniel Nunez,ATH,RP,MLB
JT Brubaker,SF,RP,MLB
Justyn-Henry Malloy,TB,OF,MLB
Everson Pereira,CWS,OF,MLB
Triston Casas,BOS,1B,MLB
Cooper Criswell,SEA,RP,MLB
Jordan Wicks,CHC,SP,MLB
Richard Lovelady,WSH,RP,MLB
Zach Maxwell,CIN,RP,MLB
Tyler Ferguson,ATH,RP,MLB
RJ Petit,COL,RP,MLB
Carter Baumler,TEX,SP,MLB
Peyton Pallette,CLE,RP,MLB
Travis d'Arnaud,LAA,C,MLB
Drew Thorpe,CWS,SP,MLB
Blaine Crim,COL,1B,MLB
Bryce Teodosio,LAA,OF,MLB
Tyler Locklear,ARI,1B,MLB
Abimelec Ortiz,WSH,1B,MLB
John King,MIA,RP,MLB
Mason Fluharty,TOR,RP,MLB
Wikelman Gonzalez,CWS,SP,MLB
Hunter Bigge,TB,RP,MLB
Adrian Del Castillo,ARI,C,MLB
AJ Blubaugh,HOU,SP,MLB
Richie Palacios,TB,OF,MLB
Zach Agnos,COL,RP,MLB
Steven Cruz,KC,RP,MLB
Dylan Dodd,ATL,RP,MLB
Gus Varland,WSH,RP,MLB
Beau Brieske,DET,RP,MLB
Kyle Nicolas,PIT,RP,MLB
George Soriano,STL,RP,MLB
Bryan Hudson,NYM,RP,MLB
Miguel Rojas,LAD,2B,MLB
Andy Ibanez,ATH,2B,MLB
Oswald Peraza,LAA,1B,MLB
Zach McCambley,PHI,SP,MLB
Cody Freeman,TEX,2B,MLB
Brandon Williamson,CIN,SP,MLB
Ben Williamson,TB,3B,MLB
Jake Rogers,DET,C,MLB
Zach Pop,PHI,RP,MLB
Isiah Kiner-Falefa,BOS,2B,MLB
Johnathan Rodriguez,CLE,OF,MLB
Paxton Schultz,WSH,RP,MLB
Bradgley Rodriguez,SD,RP,MLB
Ron Marinaccio,SD,RP,MLB
Colin Holderman,CLE,RP,MLB
Alan Roden,MIN,OF,MLB
Hyeseong Kim,LAD,2B,MLB
Darell Hernaiz,ATH,2B,MLB
Colton Gordon,HOU,SP,MLB
Zack Gelof,ATH,2B,MLB
Austin Warren,NYM,RP,MLB
Johan Rojas,PHI,OF,MLB
Tim Tawa,ARI,1B,MLB
Brock Stewart,LAD,RP,MLB
Troy Taylor,SEA,RP,MLB
Nathan Church,STL,OF,MLB
Myles Straw,TOR,OF,MLB
Alex Call,LAD,OF,MLB
Drew Gilbert,SF,OF,MLB
Yaramil Hiraldo,BAL,RP,MLB
Coby Mayo,BAL,1B,MLB
Sam Moll,CIN,RP,MLB
Daysbel Hernandez,ATL,RP,MLB
James McCann,ARI,C,MLB
Andrew Hoffmann,ARI,RP,MLB
Craig Yoho,MIL,RP,MLB
Edgardo Henriquez,LAD,RP,MLB
Chase Petty,CIN,SP,MLB
John Klein,MIN,SP,MLB
Andre Granillo,WSH,RP,MLB
Christian Scott,NYM,SP,MLB
Grant Wolfram,BAL,RP,MLB
Hayden Harris,ATL,RP,MLB
Ethan Roberts,CHC,RP,MLB
